Table with column headers in row 3,,,,,,
"2020 Poverty Estimates for School districts                                                                                                                                                       Source: U.S. Census Bureau, Small Area Income and Poverty Program (SAIPE)                                                                                                              Release date:   December 2021",,,,,,
State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,04500,Madison Elementary District,"66,234","5,539",641
AZ,04,04530,Maine Consolidated School District,"1,353",153,32
AZ,04,04570,Mammoth-San Manuel Unified District,"6,988","1,232",208
AZ,04,04630,Marana Unified District,"93,783","15,399","1,506"
AZ,04,04720,Maricopa Unified School District,"60,511","11,802","1,238"
AZ,04,04820,Mayer Unified District,"6,469",698,142
AZ,04,04860,McNary Elementary District,552,148,61
AZ,04,04920,McNeal Elementary District,492,102,15
AZ,04,04970,Mesa Unified District,"544,361","86,241","13,896"
AZ,04,05030,Miami Unified District,"7,644","1,231",305
AZ,04,05070,Mingus Union High School District,"37,815","1,457",223
AZ,04,05100,Mobile Elementary District,149,26,4
AZ,04,05190,Mohave Valley Elementary District,"23,567","1,887",401
AZ,04,05220,Mohawk Valley Elementary District,"1,775",178,37
AZ,04,05320,Morenci Unified District,"6,316","1,264",80
AZ,04,05340,Morristown Elementary District,"2,156",289,46
AZ,04,05400,Murphy Elementary District,"20,709","2,231",687
AZ,04,05430,Naco Elementary District,"1,457",362,92
AZ,04,05460,Nadaburg Unified School District,"9,757","1,828",298
AZ,04,05530,Nogales Unified District,"21,943","4,424","1,300"
AZ,04,05640,Oracle Elementary District,"17,431","1,130",104
AZ,04,05670,Osborn Elementary District,"44,177","4,125",965
AZ,04,05730,Owens-Whitney Elementary District,660,55,15
AZ,04,05820,Page Unified District,"13,820","2,821",577
AZ,04,05850,Palo Verde Elementary District,"3,286",474,91
AZ,04,08430,Paloma School District,361,88,17
AZ,04,05880,Palominas Elementary District,"10,209","1,604",194
AZ,04,05930,Paradise Valley Unified District,"287,728","42,640","4,529"
AZ,04,05980,Parker Unified School District,"10,031","1,596",355
AZ,04,06000,Patagonia Elementary District,"1,514",116,17
AZ,04,06030,Patagonia Union High School District,"3,343",119,28
AZ,04,06070,Payson Unified District,"21,923","2,714",613
AZ,04,06120,Peach Springs Unified District,"1,417",277,83
AZ,04,06150,Pearce Elementary District,"2,009",112,22
AZ,04,06210,Pendergast Elementary District,"80,273","11,832","2,263"
AZ,04,06250,Peoria Unified School District,"249,693","41,633","4,680"
AZ,04,06300,Phoenix Elementary District,"66,101","7,301","2,215"
AZ,04,06330,Phoenix Union High School District,"782,853","44,863","9,383"
AZ,04,06360,Picacho Elementary District,"10,576",144,36
AZ,04,06440,Pima Unified District,"3,946",925,114
AZ,04,06510,Pine Strawberry Elementary District,"2,989",221,59
AZ,04,00023,Pinon Unified District,"7,387","1,744",551
AZ,04,06630,Pomerene Elementary District,980,158,29
AZ,04,06730,Prescott Unified District,"62,175","5,578",534
AZ,04,06780,Quartzsite Elementary District,"6,458",285,71
AZ,04,06810,Queen Creek Unified District,"31,583","7,262",385
AZ,04,06850,Ray Unified District,"4,884",823,92
AZ,04,06870,Red Mesa Unified District,"8,650","1,918",663
AZ,04,06900,Red Rock Elementary District,"4,302",634,73
AZ,04,06930,Redington Elementary District,104,15,2
AZ,04,07020,Riverside Elementary District,"8,099","1,389",302
AZ,04,07080,Roosevelt Elementary District,"122,211","17,716","4,334"
AZ,04,07130,Round Valley Unified District,"8,208","1,375",380
AZ,04,07140,Rucker Elementary District,26,0,0
AZ,04,07200,Sacaton Elementary District,"8,408","1,307",390
AZ,04,07170,Saddle Mountain Unified School District,"10,581","2,161",291
AZ,04,07240,Safford Unified District,"17,609","3,364",454
AZ,04,07300,Sahuarita Unified District,"29,241","5,750",559
AZ,04,00005,Salome Consolidated Elementary District,"2,898",125,36
AZ,04,06960,San Carlos Unified District,"8,212","2,044",545
AZ,04,07380,San Fernando Elementary District,56,6,0
AZ,04,07430,San Simon Unified District,666,79,17
AZ,04,06740,Sanders Unified District,"5,929","1,262",557
AZ,04,07500,Santa Cruz Elementary District,"1,681",373,65
AZ,04,07520,Santa Cruz Valley Unified District,"19,829","3,967",800
AZ,04,07530,Santa Cruz Valley Union High School District,"23,377",785,181
